forme	lemme	catégorie
Çà	çà	ADV
et	et	COO
là	là	ADV
,	,	PCTFAIB
dans	dans	PREP
un	un	PIMS
landau	landau	NCMS
découvert	découvert	ADJMS
,	,	PCTFAIB
éclatait	éclater	VINDI3S
un	un	DETIMS
bout	bout	NCMS
d'	de	PREP
étoffe	étoffe	NCFS
,	,	PCTFAIB
un	un	PIMS
bout	bout	NCMS
de	de	PREP
toilette	toilette	NCFS
de	de	PREP
femme	femme	NCFS
,	,	PCTFAIB
soie	soie	NCFS
ou	ou	COO
velours	velours	NCMIN
.	.	PCTFORTE
Il	il	PPER3S
était	être	VINDI3S
peu	peu	ADV
à	à	PREP
peu	peu	ADV
tombé	tomber	VPARPMS
un	un	DETIMS
grand	grand	ADJMS
silence	silence	NCMS
sur	sur	PREP
tout	tout	ADJMS
ce	ce	DETDEM
tapage	tapage	NCMS
éteint	éteint	ADJMS
,	,	PCTFAIB
devenu	devenir	VPARPMS
immobile	immobile	ADJSIG
.	.	PCTFORTE
On	on	PPER3S
entendait	entendre	VINDI3S
,	,	PCTFAIB
du	de le	DETDMS
fond	fond	NCMS
des	de le	DETDPIG
voitures	voiture	NCFP
,	,	PCTFAIB
les	le	DETDPIG
conversations	conversation	NCFP
des	de le	DETDPIG
piétons	piéton	NCMP
.	.	PCTFORTE
Il	il	PPER3S
y	y	PPER3S
avait	avoir	VINDI3S
des	un	DETDPIG
échanges	échange	NCMP
de	de	PREP
regards	regard	NCMP
muets	muet	ADJMP
,	,	PCTFAIB
de	de	PREP
portières	portière	NCFP
à	à	PREP
portières	portière	NCFP
;	;	PCTFORTE
et	et	COO
personne	personne	PISIG
ne	ne	ADV
causait	causer	VINDI3S
plus	plus	ADV
,	,	PCTFAIB
dans	dans	PREP
cette	ce	DETDEM
attente	attente	NCFS
que	que	PRI
coupaient	couper	VINDI3P
seuls	seul	ADJMP
les	le	DETDPIG
craquements	craquement	NCMP
des	de le	DETDPIG
harnais	harnais	NCHMIN
et	et	COO
le	le	DETDMS
coup	coup	NCMS
de	de	PREP
sabot	sabot	NCMS
impatient	impatient	ADJMS
d'	de	PREP
un	un	DETIMS
cheval	cheval	NCMS
.	.	PCTFORTE
Au	à le	DETDMS
loin	loin	ADV
,	,	PCTFAIB
les	le	DETDPIG
voix	voix	NCFIN
confuses	confus	ADJFP
du	du	DETDMS
Bois	bois	NCMIN
se	se	PPER3S
mouraient	mourir	VINDI3P
.	.	PCTFORTE
Malgré	malgré	PREP
la	le	DETDFS
saison	saison	NCFS
avancée	avancé	ADJFS
,	,	PCTFAIB
tout	tout	ADJMS
Paris	paris	NCSIG
était	être	VINDI3S
là	là	ADV
:	:	PCTFORTE
la	le	DETDFS
duchesse	duc	NCFS
de	de	PREP
Sternich	Sternich	NPI
,	,	PCTFAIB
en	en	PREP
huit-ressorts	huit-ressorts	NCHMIN
;	;	PCTFORTE
Mme	mme	NPFS
de	de	PREP
Lauwerens	Lauwerens	NPI
,	,	PCTFAIB
en	en	PREP
victoria	victoria	NCSIG
très	très	ADV
correctement	correctement	ADV
attelée	attelé	ADJFS
;	;	PCTFORTE
la	le	DETDFS
baronne	baron	NCFS
de	de	PREP
Meinhold	Meinhold	NPI
,	,	PCTFAIB
dans	dans	PREP
un	un	DETIMS
ravissant	ravissant	ADJMS
cab	cab	NCMS
bai	bai	ADJMS
-brun	brun	NCMS
;	;	PCTFORTE
la	le	DETDFS
comtesse	comte	NCFS
Vanska	Vanska	NPI
,	,	PCTFAIB
avec	avec	PREP
ses	son	DETPOSS
poneys	poney	NCMP
pie	pie	NCFS
;	;	PCTFORTE
Mme	mme	NPFS
Daste	Daste	NPI
,	,	PCTFAIB
et	et	COO
ses	son	DETPOSS
fameux	fameux	ADJMIN
stappers	stappers	NCI
noirs	noir	ADJMP
;	;	PCTFORTE
Mme	mme	NPFS
de	de	PREP
Guende	Guende	NPI
et	et	COO
Mme	Mme	NPFS
Teissière	Teissière	NPI
,	,	PCTFAIB
en	en	PREP
coupé	coupé	NCMS
;	;	PCTFORTE
