forme	lemme	catégorie
flancs	flanc	NCMP
luisants	luisant	ADJMP
de	de	PREP
Balthazar	Balthazar	NPMS
.	.	PCTFORTE
Eh	eh	INT
!	!	PCTFAIB
la	le	DETDFS
mère	mer	NCFS
,	,	PCTFAIB
avançons	avancer	VIMPP1P
!	!	PCTFAIB
cria	crier	VINDPS3S
un	un	PIMS
des	de le	DETDPIG
hommes	homme	NCMP
,	,	PCTFAIB
qui	qui	PRI
s'	se	PPER3S
était	être	VINDI3S
mis	mettre	VPARPMS
à	à	PREP
genoux	genou	NCMP
sur	sur	PREP
ses	son	DETPOSS
navets	navet	NCMP
...	...	PCTFORTE
C'	ce	PDS
est	être	VINDP3S
quelque	quelque	ADV
cochon	cochon	ADJMS
d'	de	PREP
ivrogne	ivrogne	NCSIG
.	.	PCTFORTE
Elle	elle	PPER3S
s'	se	PPER3S
était	être	VINDI3S
penchée	pencher	VPARPFS
,	,	PCTFAIB
elle	elle	PPER3S
avait	avoir	VINDI3S
aperçu	apercevoir	VPARPMS
,	,	PCTFAIB
à	à	PREP
droite	droite	NCFS
,	,	PCTFAIB
presque	presque	ADV
sous	sous	PREP
les	le	DETDPIG
pieds	pied	NCMP
du	de le	DETDMS
cheval	cheval	NCMS
,	,	PCTFAIB
une	un	DETIFS
masse	mass	NCFS
noire	noir	ADJFS
qui	qui	PRI
barrait	barrer	VINDI3S
la	le	DETDFS
roule	rouler	VINDP3S
.	.	PCTFORTE
On	on	PPER3S
n'	ne	ADV
écrase	écraser	VINDP3S
pas	pas	ADV
le	le	DETDMS
monde	monde	NCMS
,	,	PCTFAIB
dit	dire	VINDP3S
-elle	elle	PPER3S
,	,	PCTFAIB
en	en	PREP
sautant	sauter	VPARPRES
à	à	PREP
terre	terre	NCFS
.	.	PCTFORTE
C'	ce	PDS
était	être	VINDI3S
un	un	DETIMS
homme	homme	NCMS
vautré	vautrer	VPARPMS
tout	tout	ADV
de	de	PREP
son	son	DETPOSS
long	long	NCMS
,	,	PCTFAIB
les	le	DETDPIG
bras	bras	NCMIN
étendus	étendu	ADJMP
,	,	PCTFAIB
tombé	tombé	ADJMS
la	le	DETDFS
face	face	NCFS
dans	dans	PREP
la	le	DETDFS
poussière	poussière	NCFS
.	.	PCTFORTE
Il	il	PPER3S
paraissait	paraître	VINDI3S
d'	de	PREP
une	un	DETIFS
longueur	longueur	NCFS
extraordinaire	extraordinaire	ADJSIG
,	,	PCTFAIB
maigre	maigre	ADJSIG
comme	comme	SUB
une	un	DETIFS
branche	branche	NCFS
sèche	sec	ADJFS
;	;	PCTFORTE
le	le	DETDMS
miracle	miracle	NCMS
était	être	VINDI3S
que	que	SUB
Balthazar	Balthazar	NPMS
ne	ne	ADV
l'	le	PPER3S
eût	avoir	VSUBI3S
pas	pas	ADV
cassé	casser	VPARPMS
en	en	PREP
deux	deux	NCI
d'	de	PREP
un	un	DETIMS
coup	coup	NCMS
de	de	PREP
sabot	sabot	NCMS
.	.	PCTFORTE
Madame	madame	NCFIN
François	François	NPHSIG
le	le	PPER3S
crut	croire	VINDPS3S
mort	mort	ADJMS
;	;	PCTFORTE
elle	elle	PPER3S
s'	se	PPER3S
accroupit	accroupir	VINDPS3S
devant	devant	PREP
lui	lui	PPER3S
,	,	PCTFAIB
lui	lui	PPER3S
prit	prendre	VINDPS3S
une	un	DETIFS
main	main	NCFS
,	,	PCTFAIB
et	et	COO
vit	voir	VINDPS3S
qu'	que	SUB
elle	elle	PPER3S
était	être	VINDI3S
chaude	chaud	ADJFS
.	.	PCTFORTE
Eh	eh	INT
!	!	PCTFAIB
l'	le	DETDMS
homme	homme	NCMS
!	!	PCTFAIB
dit	dire	VINDP3S
-elle	elle	PPER3S
doucement	doucement	ADV
.	.	PCTFORTE
Mais	mais	COO
les	le	DETDPIG
charretiers	charretier	NCMP
s'	se	PPER3S
impatientaient	impatienter	VINDI3P
.	.	PCTFORTE
Celui	celui	PDS
qui	qui	PRI
était	être	VINDI3S
agenouillé	agenouiller	VPARPMS
dans	dans	PREP
ses	son	DETPOSS
légumes	légume	NCMP
,	,	PCTFAIB
reprit	reprendre	VINDPS3S
de	de	PREP
sa	son	DETPOSS
voix	voix	NCFIN
enrouée	enroué	ADJFS
:	:	PCTFORTE
Fouettez	fouetter	VIMPP2P
donc	donc	COO
,	,	PCTFAIB
la	le	DETDFS
mère	mère	NCFS
!	!	PCTFORTE
Il	il	PPER3S
en	en	PPER3S
a	avoir	VINDP3S
plein	plein	ADJMS
son	son	DETPOSS
sac	sac	NCMS
,	,	PCTFAIB
le	le	DETDMS
sacré	sacré	ADJMS
porc	porc	NCMS
!	!	PCTFORTE
Poussez	pousser	VIMPP2P
-moi	moi	PPER1S
ça	ça	PDS
dans	dans	PREP
le	le	DETDMS
ruisseau	ruisseau	NCMS
!	!	PCTFORTE
Cependant	cependant	ADV
,	,	PCTFAIB
l'	le	DETDMS
homme	homme	NCMS
avait	avoir	VINDI3S
ouvert	ouvrir	VPARPMS
les	le	DETDPIG
yeux	oeil	NCMP
.	.	PCTFORTE
Il	il	PPER3S
regardait	regarder	VINDI3S
madame	madame	NCFIN
François	François	NPHSIG
d'	de	PREP
un	un	DETIMS
air	air	NCMS
effaré	effaré	ADJMS
,	,	PCTFAIB
sans	sans	PREP
bouger	bouger	VINF
.	.	PCTFORTE
Elle	elle	PPER3S
pensa	penser	VINDPS3S
qu'	que	SUB
il	il	PPER3S
devait	devoir	VINDI3S
être	être	VINF
ivre	ivre	ADJSIG
,	,	PCTFAIB
en	en	PREP
effet	effet	NCMS
.	.	PCTFORTE
Il	il	PPER3S
ne	ne	ADV
faut	falloir	VINDP3S
pas	pas	ADV
rester	rester	VINF
là	là	ADV
,	,	PCTFAIB
vous	vous	PPER2P
allez	aller	VINDP2P
vous	vous	PPER2P
faire	faire	VINF
