forme	lemme	catégorie
.	.	PCTFORTE
Pendant	pendant	PREP
près	près	PREP
d'	de	PREP
un	un	DETIMS
mois	mois	NCMIN
,	,	PCTFAIB
les	le	DETDPIG
gamins	gamin	NCMP
,	,	PCTFAIB
qui	qui	PRI
pleuraient	pleurer	VINDI3P
les	le	DETDPIG
poiriers	poirier	NCMP
,	,	PCTFAIB
jouèrent	jouer	VINDPS3P
aux	à le	DETDPIG
boules	boule	NCFP
avec	avec	PREP
des	de le	DETDPIG
crânes	crâne	NCMP
;	;	PCTFORTE
de	de	PREP
mauvais	mauvais	ADJMIN
plaisants	plaisant	NCMP
pendirent	pendre	VINDPS3P
,	,	PCTFAIB
une	un	DETIFS
nuit	nuit	NCFS
,	,	PCTFAIB
des	un	DETDPIG
fémurs	fémur	NCMP
et	et	COO
des	un	DETDPIG
tibias	tibia	NCMP
à	à	PREP
tous	tout	ADJMP
les	le	DETDPIG
cordons	cordon	NCMP
de	de	PREP
sonnette	sonnette	NCFS
de	de	PREP
la	le	DETDFS
ville	ville	NCFS
.	.	PCTFORTE
Ce	ce	DETDEM
scandale	scandale	NCMS
,	,	PCTFAIB
dont	dont	PRI
Plassans	Plassans	NPI
garde	garder	VINDP3S
encore	encore	ADV
le	le	DETDMS
souvenir	souvenir	VINF
,	,	PCTFAIB
ne	ne	ADV
cessa	cesser	VINDPS3S
que	que	ADV
le	le	DETDMS
jour	jour	NCMS
où	où	PRI
l'	l	NCMS
on	on	PPER3S
se	se	PPER3S
décida	décider	VINDPS3S
à	à	PREP
aller	aller	VINF
jeter	jeter	VINF
le	le	DETDMS
tas	tas	NCMIN
d'	de	PREP
os	os	NCMIN
au	à le	DETDMS
fond	fond	NCMS
d'	de	PREP
un	un	DETIMS
trou	trou	NCMS
creusé	creuser	VPARPMS
dans	dans	PREP
le	le	DETDMS
nouveau	nouveau	ADJMS
cimetière	cimetière	NCMS
.	.	PCTFORTE
Mais	mais	COO
,	,	PCTFAIB
en	en	PREP
province	province	NCFS
,	,	PCTFAIB
les	le	DETDPIG
travaux	travail	NCMP
se	se	PPER3S
font	faire	VINDP3P
avec	avec	PREP
une	un	DETIFS
sage	sage	ADJSIG
lenteur	lenteur	NCFS
,	,	PCTFAIB
et	et	COO
les	le	DETDPIG
habitants	habitant	NCMP
,	,	PCTFAIB
durant	durant	PREP
une	un	DETIFS
grande	grand	ADJFS
semaine	semaine	NCFS
,	,	PCTFAIB
virent	voir	VINDP3P
,	,	PCTFAIB
de	de	PREP
loin	loin	ADV
en	en	PREP
loin	loin	ADV
,	,	PCTFAIB
un	un	DETIMS
seul	seul	ADJMS
tombereau	tombereau	NCMS
transportant	transporter	VPARPRES
des	un	DETDPIG
débris	débris	NCMIN
humains	humain	ADJMP
,	,	PCTFAIB
comme	comme	SUB
il	il	PPER3S
aurait	avoir	VCONP3S
transporté	transporter	VPARPMS
des	un	DETDPIG
plâtras	plâtras	NCMIN
.	.	PCTFORTE
Le	le	DETDMS
pis	pis	NCMIN
était	être	VINDI3S
que	que	SUB
ce	ce	DETDEM
tombereau	tombereau	NCMS
devait	devoir	VINDI3S
traverser	traverser	VINF
Plassans	Plassans	NPI
dans	dans	PREP
toute	tout	ADJFS
sa	son	DETPOSS
longueur	longueur	NCFS
,	,	PCTFAIB
et	et	COO
que	que	SUB
le	le	DETDMS
mauvais	mauvais	ADJMIN
pavé	pavé	NCMS
des	de le	DETDPIG
rues	rue	NCFP
lui	lui	PPER3S
faisait	faire	VINDI3S
semer	semer	VINF
,	,	PCTFAIB
à	à	PREP
chaque	chaque	ADJIND
cahot	cahot	NCMS
,	,	PCTFAIB
des	un	DETDPIG
fragments	fragment	NCMP
d'	de	PREP
os	os	NCMIN
et	et	COO
des	un	DETDPIG
poignées	poignée	NCFP
de	de	PREP
terre	terre	NCFS
grasse	gras	ADJFS
.	.	PCTFORTE
Pas	pas	ADV
la	le	DETDFS
moindre	moindre	ADJSIG
cérémonie	cérémonie	NCFS
religieuse	religieux	ADJFS
;	;	PCTFORTE
un	un	DETIMS
charroi	charroi	NCMS
lent	lent	ADJMS
et	et	COO
brutal	brutal	ADJMS
.	.	PCTFORTE
Jamais	jamais	ADV
ville	ville	NCFS
ne	ne	ADV
fut	être	VINDPS3S
plus	plus	ADV
écoeurée	écoeuré	ADJFS
.	.	PCTFORTE
Pendant	pendant	PREP
plusieurs	plusieurs	ADJIND
années	année	NCFP
,	,	PCTFAIB
le	le	DETDMS
terrain	terrain	NCMS
de	de	PREP
l'	le	DETDMS
ancien	ancien	ADJMS
cimetière	cimetière	NCMS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
resta	rester	VINDPS3S
un	un	DETIMS
objet	objet	NCMS
d'	de	PREP
épouvante	épouvante	NCFS
.	.	PCTFORTE
Ouvert	ouvrir	VPARPMS
à	à	PREP
tout	tout	ADJMS
venant	venant	NCMS
sur	sur	PREP
le	le	DETDMS
bord	bord	NCMS
d'	de	PREP
une	un	DETIFS
grande	grand	ADJFS
route	route	NCFS
,	,	PCTFAIB
il	il	PPER3S
demeura	demeurer	VINDPS3S
désert	désert	ADJMS
,	,	PCTFAIB
en	en	PREP
proie	proie	NCFS
de	de	PREP
nouveau	nouveau	NCMS
aux	à le	DETDPIG
herbes	herbe	NCFP
folles	fou	ADJFP
.	.	PCTFORTE
La	le	DETDFS
ville	ville	NCFS
,	,	PCTFAIB
qui	qui	PRI
comptait	compter	VINDI3S
sans	sans	PREP
doute	doute	NCMS
le	le	PPER3S
vendre	vendre	VINF
et	et	COO
y	y	NCMIN
voir	voir	VINF
bâtir	bâtir	VINF
des	un	DETDPIG
maisons	maison	NCFP
,	,	PCTFAIB
ne	ne	ADV
dut	devoir	VINDPS3S
pas	pas	ADV
trouver	trouver	VINF
d'	d	PREP
acquéreur	acquéreur	NCMS
;	;	PCTFORTE
peut-être	peut-être	ADV
le	le	PPER3S
souvenir	souvenir	VINF
d'	de	PREP
un	un	DETIMS
tas	tas	NCMIN
d'	de	PREP
os	os	NCMIN
et	et	COO
ce	ce	DETDEM
tombereau	tombereau	NCMS
allant	allant	ADJMS
et	et	COO
venant	vener	VPARPRES
par	par	PREP
les	le	DETDPIG
rues	rue	NCFP
,	,	PCTFAIB
seul	seul	ADJMS
,	,	PCTFAIB
avec	avec	PREP
le	le	DETDMS
lourd	lourd	ADJMS
entêtement	entêtement	NCMS
d'	de	PREP
un	un	DETIMS
cauchemar	cauchemar	NCMS
,	,	PCTFAIB
fit	faire	VINDPS3S
-il	il	PPER3S
reculer	reculer	VINF
les	le	DETDPIG
gens	gens	NCPIG
;	;	PCTFORTE
peut-être	peut-être	ADV
faut	falloir	VINDP3S
-il	il	PPER3S
plutôt	plutôt	ADV
expliquer	expliquer	VINF
le	le	DETDMS
fait	fait	NCMS
par	par	PREP
les	le	DETDPIG
paresses	paresse	NCFP
de	de	PREP
la	le	DETDFS
province	province	NCFS
,	,	PCTFAIB
par	par	PREP
cette	ce	DETDEM
répugnance	répugnance	NCFS
qu'	que	PRI
elle	elle	PPER3S
éprouve	éprouver	VINDP3S
à	à	PREP
détruire	détruire	VINF
et	et	COO
à	à	PREP
reconstruire	reconstruire	VINF
.	.	PCTFORTE
La	le	DETDFS
vérité	vérité	NCFS
est	être	VINDP3S
que	que	SUB
la	le	DETDFS
ville	ville	NCFS
garda	garder	VINDPS3S
le	le	DETDMS
terrain	terrain	NCMS
et	et	COO
qu'	que	SUB
elle	elle	PPER3S
finit	finir	VINDP3S
même	même	ADV
I5	I5	NPI
par	par	PREP
oublier	oublier	VINF
son	son	DETPOSS
désir	désir	NCMS
de	de	PREP
le	le	PPER3S
vendre	vendre	VINF
.	.	PCTFORTE
Elle	elle	PPER3S
ne	ne	ADV
l'	le	PPER3S
entoura	entourer	VINDPS3S
seulement	seulement	ADV
pas	pas	ADV
d'	de	PREP
une	un	DETIFS
palissade	palissade	NCFS
;	;	PCTFORTE
entra	entrer	VINDPS3S
qui	qui	PRI
voulut	vouloir	VINDPS3S
.	.	PCTFORTE
Et	et	COO
,	,	PCTFAIB
peu	peu	ADV
à	à	PREP
peu	peu	ADV
,	,	PCTFAIB
les	le	DETDPIG
années	année	NCFP
aidant	aider	VPARPRES
,	,	PCTFAIB
on	on	PPER3S
s'	se	PPER3S
habitua	habituer	VINDPS3S
à	à	PREP
ce	ce	DETDEM
coin	coin	NCMS
vide	vide	ADJSIG
;	;	PCTFORTE
on	on	PPER3S
s'	se	PPER3S
assit	asseoir	VINDPS3S
sur	sur	PREP
l'	le	DETDFS
herbe	herb	NCFS
des	de le	DETDPIG
bords	bord	NCMP
,	,	PCTFAIB
on	on	PPER3S
traversa	traverser	VINDPS3S
le	le	DETDMS
champ	champ	NCMS
,	,	PCTFAIB
on	on	PPER3S
le	le	PPER3S
peupla	peupler	VINDPS3S
.	.	PCTFORTE
Quand	quand	SUB
les	le	DETDPIG
pieds	pied	NCMP
des	de le	DETDPIG
promeneurs	promeneur	NCMP
eurent	avoir	VINDPS3P
usé	user	VPARPMS
le	le	DETDMS
tapis	tapis	NCMIN
d'	de	PREP
herbe	herb	NCFS
et	et	COO
que	que	SUB
la	le	DETDFS
terre	terre	NCFS
battue	battu	ADJFS
fut	être	VINDPS3S
devenue	devenir	VPARPFS
grise	gris	ADJFS
et	et	COO
dure	dur	ADJFS
,	,	PCTFAIB
l'	le	DETDMS
ancien	ancien	ADJMS
cimetière	cimetière	NCMS
eut	avoir	VINDPS3S
quelque	quelque	ADJIND
ressemblance	ressemblance	NCFS
avec	avec	PREP
une	un	DETIFS
place	place	NCFS
publique	public	ADJFS
mal	mal	ADV
nivelée	nivelée	ADJFS
.	.	PCTFORTE
Pour	pour	PREP
mieux	mieux	ADV
effacer	effacer	VINF
tout	tout	PIMS
souvenir	souvenir	NCMS
répugnant	répugnant	ADJMS
,	,	PCTFAIB
les	le	DETDPIG
habitants	habitant	NCMP
furent	être	VINDPS3P
,	,	PCTFAIB
à	à	PREP
leur	leur	DETPOSS
insu	insu	NCMS
,	,	PCTFAIB
conduits	conduire	VPARPMP
lentement	lentement	ADV
à	à	PREP
changer	changer	VINF
l'	le	DETDFS
appellation	appellation	NCFS
du	de le	DETDMS
terrain	terrain	NCMS
;	;	PCTFORTE
on	on	PPER3S
se	se	PPER3S
contenta	contenter	VINDPS3S
de	de	PREP
garder	garder	VINF
le	le	DETDMS
nom	nom	NCMS
du	de le	DETDMS
saint	saint	NCMS
dont	dont	PRI
on	on	PPER3S
baptisa	baptiser	VINDPS3S
également	également	ADV
le	le	DETDMS
cul-de-sac	cul-de-sac	NCMS
qui	qui	PRI
se	se	PPER3S
creuse	creuser	VINDP3S
dans	dans	PREP
un	un	DETIMS
coin	coin	NCMS
du	de le	DETDMS
champ	champ	NCMS
:	:	PCTFORTE
il	il	PPER3S
y	y	PPER3S
eut	avoir	VINDPS3S
l'	le	DETDFS
aire	aire	NCFS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
et	et	COO
l'	le	DETDFS
impasse	impasse	NCFS
-Saint-Mittre	Saint-Mittre	NPI
.	.	PCTFORTE
Ces	ce	DETDEM
faits	fait	NCMP
datent	dater	VINDP3P
de	de	PREP
loin	loin	ADV
.	.	PCTFORTE
Depuis	depuis	PREP
plus	plus	ADV
de	de	PREP
trente	trente	ADJNUM
ans	an	NCMP
,	,	PCTFAIB
l'	le	DETDFS
aire	aire	NCFS
Saint	Saint	NPMS
-Mittre	Mittre	NPI
a	avoir	VINDP3S
une	un	DETIFS
physionomie	physionomie	NCFS
particulière	particulier	ADJFS
.	.	PCTFORTE
La	le	DETDFS
ville	ville	NCFS
,	,	PCTFAIB
bien	bien	ADV
trop	trop	ADV
insouciante	insouciant	ADJFS
et	et	COO
endormie	endormi	ADJFS
pour	pour	PREP
en	en	PPER3S
tirer	tirer	VINF
un	un	DETIMS
bon	bon	ADJMS
parti	parti	NCMS
,	,	PCTFAIB
l'	le	PPER3S
a	avoir	VINDP3S
louée	louer	VPARPFS
,	,	PCTFAIB
moyennant	moyennant	PREP
une	un	DETIFS
faible	faible	ADJSIG
somme	somme	NCFS
,	,	PCTFAIB
à	à	PREP
des	de le	DETDPIG
charrons	charron	NCMP
du	de le	DETDMS
faubourg	faubourg	NCMS
qui	qui	PRI
en	en	PPER3S
ont	avoir	VINDP3P
fait	faire	VPARPMS
un	un	DETIMS
chantier	chantier	NCMS
de	de	PREP
bois	bois	NCMIN
.	.	PCTFORTE
Elle	elle	PPER3S
est	être	VINDP3S
encore	encore	ADV
aujourd	aujourd'	NCI
hui	hui	ADV
encombrée	encombrer	VPARPFS
de	de	PREP
poutres	poutre	NCFP
énormes	énorme	ADJPIG
,	,	PCTFAIB
de	de	PREP
dix	dix	ADJNUM
à	à	PREP
quinze	quinze	ADJNUM
mètres	mètre	NCMP
de	de	PREP
longueur	longueur	NCFS
,	,	PCTFAIB
gisant	gésir	VPARPRES
çà	çà	ADV
et	et	COO
là	là	ADV
,	,	PCTFAIB
par	par	PREP
tas	tas	NCMIN
,	,	PCTFAIB
pareilles	pareil	ADJFP
à	à	PREP
des	de le	DETDPIG
faisceaux	faisceau	NCMP
de	de	PREP
hautes	haut	ADJFP
colonnes	colonne	NCFP
renversées	renverser	VPARPFP
sur	sur	PREP
le	le	DETDMS
sol	sol	NCMS
.	.	PCTFORTE
Ces	ce	DETDEM
tas	tas	NCMIN
de	de	PREP
poutres	poutre	NCFP
,	,	PCTFAIB
ces	ce	DETDEM
